filename,source,x,y,level,relative_x,relative_y
1_t2.jpg,spider,139,175,L5/S1,0.54296875,0.68359375
1_t2.jpg,spider,133,157,L4/L5,0.51953125,0.61328125
1_t2.jpg,spider,132,131,L3/L4,0.515625,0.51171875
1_t2.jpg,spider,131,102,L2/L3,0.51171875,0.3984375
1_t2.jpg,spider,134,84,L1/L2,0.5234375,0.328125
2_t2.jpg,spider,143,179,L5/S1,0.55859375,0.69921875
2_t2.jpg,spider,129,154,L4/L5,0.50390625,0.6015625
2_t2.jpg,spider,123,125,L3/L4,0.48046875,0.48828125
2_t2.jpg,spider,123,91,L2/L3,0.48046875,0.35546875
2_t2.jpg,spider,127,59,L1/L2,0.49609375,0.23046875
3_t2.jpg,spider,134,188,L5/S1,0.5234375,0.734375
3_t2.jpg,spider,128,159,L4/L5,0.5,0.62109375
3_t2.jpg,spider,127,131,L3/L4,0.49609375,0.51171875
3_t2.jpg,spider,129,99,L2/L3,0.50390625,0.38671875
3_t2.jpg,spider,137,66,L1/L2,0.53515625,0.2578125
4_t2.jpg,spider,126,162,L5/S1,0.4921875,0.6328125
4_t2.jpg,spider,123,135,L4/L5,0.48046875,0.52734375
4_t2.jpg,spider,120,107,L3/L4,0.46875,0.41796875
4_t2.jpg,spider,116,84,L2/L3,0.453125,0.328125
4_t2.jpg,spider,121,53,L1/L2,0.47265625,0.20703125
5_t2.jpg,spider,147,189,L5/S1,0.57421875,0.73828125
5_t2.jpg,spider,146,161,L4/L5,0.5703125,0.62890625
5_t2.jpg,spider,148,130,L3/L4,0.578125,0.5078125
5_t2.jpg,spider,154,99,L2/L3,0.6015625,0.38671875
5_t2.jpg,spider,160,68,L1/L2,0.625,0.265625
6_t2.jpg,spider,125,191,L5/S1,0.48828125,0.74609375
6_t2.jpg,spider,122,164,L4/L5,0.4765625,0.640625
6_t2.jpg,spider,126,130,L3/L4,0.4921875,0.5078125
6_t2.jpg,spider,134,94,L2/L3,0.5234375,0.3671875
6_t2.jpg,spider,143,59,L1/L2,0.55859375,0.23046875
7_t2.jpg,spider,170,192,L5/S1,0.6640625,0.75
7_t2.jpg,spider,164,165,L4/L5,0.640625,0.64453125
7_t2.jpg,spider,160,134,L3/L4,0.625,0.5234375
7_t2.jpg,spider,159,106,L2/L3,0.62109375,0.4140625
7_t2.jpg,spider,159,74,L1/L2,0.62109375,0.2890625
8_t2.jpg,spider,154,208,L5/S1,0.6015625,0.8125
8_t2.jpg,spider,145,185,L4/L5,0.56640625,0.72265625
8_t2.jpg,spider,141,157,L3/L4,0.55078125,0.61328125
8_t2.jpg,spider,143,129,L2/L3,0.55859375,0.50390625
8_t2.jpg,spider,149,101,L1/L2,0.58203125,0.39453125
9_t2.jpg,spider,142,194,L5/S1,0.5546875,0.7578125
9_t2.jpg,spider,137,167,L4/L5,0.53515625,0.65234375
9_t2.jpg,spider,132,139,L3/L4,0.515625,0.54296875
9_t2.jpg,spider,128,107,L2/L3,0.5,0.41796875
9_t2.jpg,spider,129,72,L1/L2,0.50390625,0.28125
10_t2.jpg,spider,174,198,L5/S1,0.6796875,0.7734375
10_t2.jpg,spider,166,174,L4/L5,0.6484375,0.6796875
10_t2.jpg,spider,167,149,L3/L4,0.65234375,0.58203125
10_t2.jpg,spider,173,119,L2/L3,0.67578125,0.46484375
10_t2.jpg,spider,185,91,L1/L2,0.72265625,0.35546875
11_t2.jpg,spider,137,189,L5/S1,0.53515625,0.73828125
11_t2.jpg,spider,128,164,L4/L5,0.5,0.640625
11_t2.jpg,spider,124,136,L3/L4,0.484375,0.53125
11_t2.jpg,spider,129,109,L2/L3,0.50390625,0.42578125
11_t2.jpg,spider,141,85,L1/L2,0.55078125,0.33203125
12_t2.jpg,spider,113,177,L5/S1,0.44140625,0.69140625
12_t2.jpg,spider,108,151,L4/L5,0.421875,0.58984375
12_t2.jpg,spider,107,121,L3/L4,0.41796875,0.47265625
12_t2.jpg,spider,112,88,L2/L3,0.4375,0.34375
12_t2.jpg,spider,117,56,L1/L2,0.45703125,0.21875
13_t2.jpg,spider,139,196,L5/S1,0.54296875,0.765625
13_t2.jpg,spider,129,176,L4/L5,0.50390625,0.6875
13_t2.jpg,spider,124,148,L3/L4,0.484375,0.578125
13_t2.jpg,spider,128,118,L2/L3,0.5,0.4609375
13_t2.jpg,spider,140,95,L1/L2,0.546875,0.37109375
15_t2.jpg,spider,134,162,L5/S1,0.5234375,0.6328125
15_t2.jpg,spider,130,141,L4/L5,0.5078125,0.55078125
15_t2.jpg,spider,136,112,L3/L4,0.53125,0.4375
15_t2.jpg,spider,145,83,L2/L3,0.56640625,0.32421875
15_t2.jpg,spider,152,57,L1/L2,0.59375,0.22265625
16_t2.jpg,spider,122,192,L5/S1,0.4765625,0.75
16_t2.jpg,spider,109,176,L4/L5,0.42578125,0.6875
16_t2.jpg,spider,102,147,L3/L4,0.3984375,0.57421875
16_t2.jpg,spider,104,118,L2/L3,0.40625,0.4609375
16_t2.jpg,spider,107,87,L1/L2,0.41796875,0.33984375
17_t2.jpg,spider,144,178,L5/S1,0.5625,0.6953125
17_t2.jpg,spider,132,154,L4/L5,0.515625,0.6015625
17_t2.jpg,spider,130,122,L3/L4,0.5078125,0.4765625
17_t2.jpg,spider,134,90,L2/L3,0.5234375,0.3515625
17_t2.jpg,spider,138,55,L1/L2,0.5390625,0.21484375
18_t2.jpg,spider,158,202,L5/S1,0.6171875,0.7890625
18_t2.jpg,spider,150,181,L4/L5,0.5859375,0.70703125
18_t2.jpg,spider,150,156,L3/L4,0.5859375,0.609375
18_t2.jpg,spider,153,125,L2/L3,0.59765625,0.48828125
18_t2.jpg,spider,160,98,L1/L2,0.625,0.3828125
19_t2.jpg,spider,134,178,L5/S1,0.5234375,0.6953125
19_t2.jpg,spider,125,151,L4/L5,0.48828125,0.58984375
19_t2.jpg,spider,123,121,L3/L4,0.48046875,0.47265625
19_t2.jpg,spider,127,88,L2/L3,0.49609375,0.34375
19_t2.jpg,spider,136,57,L1/L2,0.53125,0.22265625
20_t2.jpg,spider,125,191,L5/S1,0.48828125,0.74609375
20_t2.jpg,spider,125,169,L4/L5,0.48828125,0.66015625
20_t2.jpg,spider,122,139,L3/L4,0.4765625,0.54296875
20_t2.jpg,spider,121,110,L2/L3,0.47265625,0.4296875
20_t2.jpg,spider,124,77,L1/L2,0.484375,0.30078125
21_t2.jpg,spider,156,191,L5/S1,0.609375,0.74609375
21_t2.jpg,spider,144,162,L4/L5,0.5625,0.6328125
21_t2.jpg,spider,136,133,L3/L4,0.53125,0.51953125
21_t2.jpg,spider,135,97,L2/L3,0.52734375,0.37890625
21_t2.jpg,spider,138,63,L1/L2,0.5390625,0.24609375
22_t2.jpg,spider,128,199,L5/S1,0.5,0.77734375
22_t2.jpg,spider,123,176,L4/L5,0.48046875,0.6875
22_t2.jpg,spider,120,147,L3/L4,0.46875,0.57421875
22_t2.jpg,spider,124,117,L2/L3,0.484375,0.45703125
22_t2.jpg,spider,128,89,L1/L2,0.5,0.34765625
23_t2.jpg,spider,138,198,L5/S1,0.5390625,0.7734375
23_t2.jpg,spider,135,179,L4/L5,0.52734375,0.69921875
23_t2.jpg,spider,138,153,L3/L4,0.5390625,0.59765625
23_t2.jpg,spider,144,128,L2/L3,0.5625,0.5
23_t2.jpg,spider,152,103,L1/L2,0.59375,0.40234375
24_t2.jpg,spider,127,197,L5/S1,0.49609375,0.76953125
